Date,Open,High,Low,Close,Adj Close,Volume
7/21/2015,98.949997,99.239998,97.139999,98.389999,98.389999,39453300
7/22/2015,96.739998,97.580002,95.919998,97.040001,97.040001,28299500
7/23/2015,96.959999,97.449997,94.809998,95.440002,95.440002,29418800
7/24/2015,97.349998,97.760002,95.879997,96.949997,96.949997,33444900
7/27/2015,96.580002,96.610001,93.830002,94.169998,94.169998,38585400
7/28/2015,94.839996,95.559998,93.309998,95.290001,95.290001,35236000
7/29/2015,96.32,97.279999,94.739998,96.989998,96.989998,64648300
7/30/2015,94.910004,95.809998,91.800003,95.209999,95.209999,86211300
7/31/2015,94.949997,96.330002,93.949997,94.010002,94.010002,46509000
8/3/2015,93.529999,95.080002,92.800003,94.139999,94.139999,29343100
8/4/2015,93.790001,94.730003,93.330002,94.059998,94.059998,20136000
8/5/2015,95.25,97.089996,95.18,96.440002,96.440002,29813200
8/6/2015,97.18,98.739998,94.419998,95.120003,95.120003,42271300
8/7/2015,95.379997,95.400002,93.610001,94.300003,94.300003,23199100
8/10/2015,95.68,95.900002,93.629997,94.150002,94.150002,21624200
8/11/2015,93.730003,94.760002,92.900002,93.620003,93.620003,21372900
8/12/2015,92.699997,94.440002,91.190002,94.190002,94.190002,27050500
8/13/2015,94.050003,94.730003,93.349998,93.43,93.43,17451800
8/14/2015,93.540001,94.720001,93.209999,94.419998,94.419998,15878500
8/17/2015,94.419998,94.459999,93.389999,93.93,93.93,18313500
8/18/2015,94.080002,95.849998,94.040001,95.169998,95.169998,22278800
8/19/2015,94.629997,96.099998,94.160004,95.309998,95.309998,23251300
8/20/2015,93.540001,94.769997,90.459999,90.559998,90.559998,44598200
8/21/2015,87.519997,89.18,85.610001,86.059998,86.059998,62778700
8/24/2015,77.029999,82.089996,72,82.089996,82.089996,83710700
8/25/2015,86.949997,87.669998,83,83,83,52021200
8/26/2015,85.949997,87.459999,83.260002,87.190002,87.190002,45124300
8/27/2015,89.099998,90.059998,87.190002,89.730003,89.730003,42431400
8/28/2015,89.879997,91.480003,89.790001,91.010002,91.010002,33215900
8/31/2015,90.599998,91.050003,88.889999,89.43,89.43,32006700
9/1/2015,86.849998,89.389999,86.5,87.230003,87.230003,36097400
9/2/2015,88.809998,89.889999,87.629997,89.889999,89.889999,27190500
9/3/2015,89.760002,89.82,87.730003,88.150002,88.150002,27048200
9/4/2015,87.199997,88.389999,86.699997,88.260002,88.260002,27328700
9/8/2015,89.690002,90.239998,88.830002,89.529999,89.529999,27012500
9/9/2015,90.779999,91.980003,90.169998,90.440002,90.440002,32439000
9/10/2015,90.07,92.059998,89.629997,91.980003,91.980003,26437400
9/11/2015,91.68,92.080002,91.129997,92.050003,92.050003,21185000
9/14/2015,92.309998,92.620003,91.599998,92.309998,92.309998,20127900
9/15/2015,92.370003,93.25,91.790001,92.900002,92.900002,18638300
9/16/2015,92.900002,93.599998,92.629997,93.449997,93.449997,16321200
9/17/2015,93.370003,95.510002,92.900002,94.339996,94.339996,27841800
9/18/2015,93.199997,95.190002,93.050003,94.400002,94.400002,61898700
9/21/2015,94.620003,96.489998,94.519997,95.550003,95.550003,28790000
9/22/2015,93.769997,94.68,91.919998,92.959999,92.959999,36888900
9/23/2015,93.400002,94.32,92.800003,93.970001,93.970001,21701400
9/24/2015,93.059998,94.769997,92.239998,94.410004,94.410004,29106000
9/25/2015,95.790001,95.849998,92.059998,92.769997,92.769997,28961600
9/28/2015,92.080002,92.290001,88.18,89.209999,89.209999,41199900
9/29/2015,89.099998,90.059998,85.720001,86.669998,86.669998,42281800
9/30/2015,88.440002,90.019997,88.010002,89.900002,89.900002,36030300
10/1/2015,90.050003,90.949997,88.360001,90.949997,90.949997,29283700
10/2/2015,88.900002,92.199997,88.370003,92.07,92.07,37881700
10/5/2015,92.940002,94.269997,92.660004,94.010002,94.010002,27292500
10/6/2015,94.080002,94.169998,92.339996,92.800003,92.800003,22172800
10/7/2015,93.110001,93.660004,91.370003,92.400002,92.400002,24129300
10/8/2015,91.889999,93.220001,90.470001,92.470001,92.470001,27290500
10/9/2015,92.900002,93.739998,92.239998,93.239998,93.239998,20012900
10/12/2015,93.32,94.599998,92.669998,94.260002,94.260002,18449600
10/13/2015,93.660004,95.370003,93.550003,94.120003,94.120003,19480300
10/14/2015,94.080002,95.199997,93.610001,94.07,94.07,19253400
10/15/2015,94.989998,96.300003,94.900002,95.959999,95.959999,27557500
10/16/2015,96.18,97.589996,95.349998,97.540001,97.540001,25412900
10/19/2015,97.18,98.57,96.919998,98.470001,98.470001,23729900
10/20/2015,98.730003,99.589996,96.559998,97,97,30700500
10/21/2015,97.370003,98.18,96.470001,97.110001,97.110001,21917800
10/22/2015,97.790001,99.730003,97.550003,99.669998,99.669998,26392100
10/23/2015,101.910004,102.849998,100.160004,102.190002,102.190002,42809700
10/26/2015,102.199997,103.809998,101.550003,103.769997,103.769997,25961200
10/27/2015,102.940002,104.099998,102.400002,103.699997,103.699997,23795500
10/28/2015,103.900002,104.480003,102.919998,104.199997,104.199997,24081500
10/29/2015,103.959999,105.120003,103.519997,104.879997,104.879997,20099900
10/30/2015,104.510002,104.720001,101.650002,101.970001,101.970001,33487100
11/2/2015,101.720001,103.470001,101.18,103.309998,103.309998,24003900
11/3/2015,103.220001,103.650002,102.400002,102.580002,102.580002,21242300
11/4/2015,103.190002,104.139999,102.480003,103.940002,103.940002,38606400
11/5/2015,108.800003,110.650002,107.949997,108.760002,108.760002,63232900
11/6/2015,108.040001,108.739998,105.910004,107.099998,107.099998,35084300
11/9/2015,107,108.25,105.860001,106.489998,106.489998,26383500
11/10/2015,105.959999,108.150002,105.239998,107.910004,107.910004,25031700
11/11/2015,108.269997,109.870003,107.110001,109.010002,109.010002,25057100
11/12/2015,108.480003,109.389999,108,108.019997,108.019997,20924700
11/13/2015,107.709999,108.25,103.830002,103.949997,103.949997,30278400
11/16/2015,103.32,104.169998,100.470001,104.040001,104.040001,49309200
11/17/2015,104.620003,106.199997,104.139999,105.129997,105.129997,26807200
11/18/2015,105.800003,107.879997,105.389999,107.769997,107.769997,23836500
11/19/2015,107.360001,107.730003,105.949997,106.260002,106.260002,25520600
11/20/2015,106.839996,107.870003,106.620003,107.32,107.32,22129600
11/23/2015,107.190002,107.470001,106.080002,106.949997,106.949997,19897200
11/24/2015,106,106.489998,104.389999,105.739998,105.739998,23577300
11/25/2015,106.330002,106.599998,105.099998,105.410004,105.410004,15150800
11/27/2015,105.779999,105.959999,104.860001,105.449997,105.449997,5913100
11/30/2015,105.839996,106.099998,103.75,104.239998,104.239998,20383200
12/1/2015,104.830002,107.150002,104.5,107.120003,107.120003,22781900
12/2/2015,107,107.919998,105.790001,106.07,106.07,24429100
12/3/2015,106.269997,106.849998,103.349998,104.379997,104.379997,23236500
12/4/2015,104.809998,107.730003,104.110001,106.18,106.18,21224700
12/7/2015,106.480003,106.830002,104.660004,105.610001,105.610001,15474900
12/8/2015,104,106.910004,103.949997,106.489998,106.489998,20401800
