Date,Open,High,Low,Close,Adj Close,Volume
5/20/2016,169.410004,171.100006,168.330002,170.050003,170.050003,2255300
5/23/2016,170.690002,171.5,169.429993,169.770004,169.770004,1623600
5/24/2016,171.550003,178.110001,169.919998,175.910004,175.910004,4630800
5/25/2016,176.990005,178.809998,175.210007,176.710007,176.710007,3567500
5/26/2016,176.190002,177.779999,175,177.669998,177.669998,3538600
5/27/2016,178.289993,185.279999,178.279999,185.009995,185.009995,5600300
5/31/2016,185.149994,185.509995,176.610001,178.539993,178.539993,24063000
6/1/2016,176.529999,177.770004,174.259995,176.529999,176.529999,4783300
6/2/2016,177.199997,179,174.75,175.639999,175.639999,3204400
6/3/2016,176.639999,177.5,172.330002,173.740005,173.740005,2961700
6/6/2016,174.729996,176.059998,173.800003,174.619995,174.619995,1873000
6/7/2016,175.869995,175.869995,170.809998,170.860001,170.860001,2401200
6/8/2016,172.039993,172.199997,168.460007,168.710007,168.710007,2484800
6/9/2016,168,169.300003,166.149994,168.990005,168.990005,2262200
6/10/2016,166.580002,167.449997,164,164.279999,164.279999,2446800
6/13/2016,161.009995,164.860001,160,163.550003,163.550003,3829900
6/14/2016,159.259995,170.190002,159.130005,160.839996,160.839996,10154400
6/15/2016,161.610001,162.179993,160.059998,161.029999,161.029999,3771000
6/16/2016,160.580002,166.169998,159.5,165.520004,165.520004,4452800
6/17/2016,165.419998,165.839996,161.850006,162.679993,162.679993,3220700
6/20/2016,165.570007,172.289993,165.570007,166.529999,166.529999,3463500
6/21/2016,167.440002,168.389999,162.720001,162.800003,162.800003,3036300
6/22/2016,162.490005,165.520004,161,162.220001,162.220001,2778600
6/23/2016,163.509995,164.960007,162.550003,163.919998,163.919998,2028500
6/24/2016,158.869995,163.630005,158.009995,159.119995,159.119995,3182300
6/27/2016,158.240005,158.550003,155.279999,156.919998,156.919998,3210200
6/28/2016,160.100006,162.979996,159.559998,160.410004,160.410004,2171900
6/29/2016,163.100006,166.5,162.139999,164.410004,164.410004,2468300
6/30/2016,165.070007,165.259995,162.100006,165.149994,165.149994,1809300
7/1/2016,165.240005,166.619995,162.899994,165.190002,165.190002,1775600
7/5/2016,164.419998,165.5,161,161.869995,161.869995,2365000
7/6/2016,160.979996,161.869995,157.880005,161.559998,161.559998,2157200
7/7/2016,162.5,165.860001,161.559998,163.419998,163.419998,2009100
7/8/2016,159.210007,161.050003,155.279999,159.800003,159.800003,6899500
7/11/2016,160.699997,167.899994,160.699997,167.029999,167.029999,4073100
7/12/2016,169.889999,172.759995,163.910004,164.979996,164.979996,3554300
7/13/2016,165.380005,166,162.570007,164.160004,164.160004,2320800
7/14/2016,166.649994,166.800003,163.610001,164.850006,164.850006,2079600
7/15/2016,164.860001,165.259995,161.850006,162.740005,162.740005,2378100
7/18/2016,162.740005,165.009995,160.75,164.789993,164.789993,2327000
7/19/2016,162.899994,165.279999,159.110001,161.190002,161.190002,4350800
7/20/2016,161.210007,161.789993,159.5,160.649994,160.649994,3332700
7/21/2016,161.470001,162.869995,160.600006,161.399994,161.399994,2358000
7/22/2016,162.059998,162.639999,160.449997,160.880005,160.880005,1595300
7/25/2016,159.300003,160.369995,157.539993,160.25,160.25,2920800
7/26/2016,159.889999,164.789993,159.460007,164.029999,164.029999,2697500
7/27/2016,164,165.669998,162.820007,165.5,165.5,2027600
7/28/2016,166.899994,167.860001,165.149994,165.630005,165.630005,3594300
7/29/2016,161.009995,161.550003,156.229996,159.600006,159.600006,7858300
8/1/2016,159.800003,164.110001,158.619995,163.229996,163.229996,4264000
8/2/2016,162.160004,164.5,160.330002,160.75,160.75,1850800
8/3/2016,161.119995,163.199997,160.130005,162.240005,162.240005,1740700
8/4/2016,162.720001,164.160004,161.339996,162.559998,162.559998,1746800
8/5/2016,163.5,168.240005,163.210007,167.380005,167.380005,2991500
8/8/2016,167.149994,169.490005,165.729996,166.449997,166.449997,1769600
8/9/2016,165.899994,166.559998,164.679993,165.539993,165.539993,1298600
8/10/2016,166.460007,167.449997,165,165.630005,165.630005,1448700
8/11/2016,168.130005,168.75,166.509995,167.720001,167.720001,1550800
8/12/2016,167.570007,168.550003,166.320007,167.979996,167.979996,1841000
8/15/2016,169.220001,174.960007,169,172.949997,172.949997,3448600
8/16/2016,173,174.419998,170.899994,173.300003,173.300003,2642200
8/17/2016,173.979996,174,172.009995,172.729996,172.729996,2426900
8/18/2016,173.029999,175.800003,172.679993,175.399994,175.399994,2535600
8/19/2016,175.259995,178.880005,174.860001,177.529999,177.529999,2906700
8/22/2016,177.880005,178,173.179993,173.850006,173.850006,2766600
8/23/2016,174.259995,175.410004,173.160004,173.490005,173.490005,1803800
8/24/2016,174.039993,175,170.899994,171.490005,171.490005,1673500
8/25/2016,171.600006,174.100006,171.470001,172.850006,172.850006,1340600
8/26/2016,172.850006,175.600006,172.070007,173.470001,173.470001,1439900
8/29/2016,173.889999,173.899994,171.479996,173.649994,173.649994,1654000
8/30/2016,174.229996,177.740005,173.880005,175.449997,175.449997,1947500
8/31/2016,172.240005,172.979996,169.850006,171.070007,171.070007,3050300
9/1/2016,171.850006,176.830002,171.770004,176.550003,176.550003,3608500
9/2/2016,178,179.679993,177.190002,177.779999,177.779999,2139600
9/6/2016,181.699997,189.339996,181.229996,189.059998,189.059998,8176500
9/7/2016,189.330002,192.880005,188.610001,189.149994,189.149994,4264600
9/8/2016,189.089996,190.869995,187.089996,187.5,187.5,2383700
9/9/2016,186.479996,186.839996,181.669998,182.100006,182.100006,3597400
9/12/2016,178.080002,184.919998,177.330002,184.130005,184.130005,2779100
9/13/2016,182.789993,183.779999,180.639999,181.899994,181.899994,2413100
9/14/2016,182,184.75,181.279999,182.179993,182.179993,1975900
9/15/2016,182.889999,187.399994,182.740005,186.5,186.5,2109700
9/16/2016,186.270004,186.270004,183.529999,185.009995,185.009995,1919400
9/19/2016,186,187,184.029999,184.740005,184.740005,1910800
9/20/2016,186.630005,189,185.880005,186.369995,186.369995,2414300
9/21/2016,187.850006,196.309998,187.300003,196.029999,196.029999,5742200
9/22/2016,197,197.800003,193.679993,195.449997,195.449997,3619800
9/23/2016,193.240005,197,190.300003,191.720001,191.720001,3253000
9/26/2016,189.529999,189.660004,187.139999,188.860001,188.860001,1861000
9/27/2016,189,192.419998,188.850006,190.830002,190.830002,1606100
9/28/2016,186.710007,188.309998,185.210007,187.740005,187.740005,2488400
9/29/2016,186.600006,186.960007,181.5,182.229996,182.229996,3628100
9/30/2016,183.949997,184.630005,180.630005,182.070007,182.070007,2183700
10/3/2016,182.839996,184.5,181.619995,183.539993,183.539993,1742900
10/4/2016,184,187.240005,183.520004,184.080002,184.080002,2132200
10/5/2016,185.889999,185.889999,183.279999,184.110001,184.110001,1481500
10/6/2016,183.75,184.130005,181.089996,181.520004,181.520004,1757200
10/7/2016,182.229996,182.729996,178.869995,179.800003,179.800003,2386500
10/10/2016,181.169998,182.320007,180.880005,181.490005,181.490005,1307100
10/11/2016,181.199997,182.75,175.550003,177.039993,177.039993,2932500
10/12/2016,177,178.009995,174.710007,175.410004,175.410004,2165300
10/13/2016,173.300003,175.190002,171.889999,174.610001,174.610001,1699000
10/14/2016,176.479996,178.179993,174.610001,175.509995,175.509995,1800000
10/17/2016,175.179993,177.029999,173.800003,175.149994,175.149994,1338300
10/18/2016,177.919998,178.759995,175.639999,175.649994,175.649994,1626000
10/19/2016,177.5,177.5,174.699997,176.199997,176.199997,920300
10/20/2016,175.75,176.25,174.009995,175.169998,175.169998,1543000
10/21/2016,174.800003,177.5,173.850006,176.759995,176.759995,2065100
10/24/2016,178.770004,181.199997,177.779999,180.860001,180.860001,2077200
10/25/2016,181.990005,181.990005,176.070007,176.679993,176.679993,1893000
10/26/2016,175,175.199997,172.330002,172.820007,172.820007,2426500
10/27/2016,173.470001,176.539993,172.610001,175.100006,175.100006,3596000
10/28/2016,180.740005,185.199997,179.270004,179.589996,179.589996,6649200
10/31/2016,178.169998,182.639999,176.080002,176.860001,176.860001,3268800
11/1/2016,176.75,177.350006,172.289993,173.490005,173.490005,2875000
11/2/2016,173.550003,173.550003,167.509995,168.779999,168.779999,3563600
11/3/2016,168,172,168,168.570007,168.570007,2457500
11/4/2016,166.440002,169.419998,166,167.699997,167.699997,2034600
11/7/2016,171.399994,172.779999,170.179993,171.559998,171.559998,2305800
11/8/2016,171.600006,172,169.419998,170.919998,170.919998,1295600
11/9/2016,166.5,168.839996,165.399994,168.660004,168.660004,3060900
11/10/2016,168.910004,169.119995,162,163.470001,163.470001,3963200
11/11/2016,162.389999,164.429993,159.539993,162.949997,162.949997,3004100
11/14/2016,160.610001,164.729996,160.610001,161.729996,161.729996,1866000
11/15/2016,163.990005,167.979996,163.800003,164.440002,164.440002,1784800
11/16/2016,164.210007,168.410004,163.139999,166.740005,166.740005,2009600
11/17/2016,167.509995,168.350006,165.520004,166.210007,166.210007,1471600
11/18/2016,165.929993,167,163.929993,164.380005,164.380005,1506700
11/21/2016,165,167.25,164.5,165.690002,165.690002,1291100
