Date,Open,High,Low,Close,Adj Close,Volume
7/21/2015,83.110001,83.25,82.220001,82.540001,82.540001,5750700
7/22/2015,82.160004,84.75,82,84.150002,84.150002,11209200
7/23/2015,84.660004,84.970001,83.25,83.879997,83.879997,7452300
7/24/2015,85.169998,85.379997,82.650002,83.019997,83.019997,8759900
7/27/2015,80.849998,81.699997,79.68,81.400002,81.400002,12185700
7/28/2015,80.669998,80.800003,79.25,80.559998,80.559998,12122800
7/29/2015,80.980003,81.369003,80.010002,80.260002,80.260002,7177100
7/30/2015,80.110001,80.639999,79.449997,79.959999,79.959999,6934700
7/31/2015,79.849998,79.904999,78.199997,78.339996,78.339996,12687000
8/3/2015,78.199997,78.5,77.110001,77.989998,77.989998,9277000
8/4/2015,78.07,79.353996,77.800003,78.870003,78.870003,8501200
8/5/2015,79.589996,80.419998,79.480003,79.82,79.82,7502600
8/6/2015,79.849998,80.75,78.639999,78.959999,78.959999,9297800
8/7/2015,79.650002,80.199997,78.660004,78.82,78.82,8738800
8/10/2015,79.860001,80.989998,79.5,80.470001,80.470001,11276700
8/11/2015,79.481003,80,76.150002,77.339996,77.339996,22743800
8/12/2015,72.32,73.849998,71.029999,73.379997,73.379997,41093200
8/13/2015,74,76.730003,73.660004,75.110001,75.110001,23230700
8/14/2015,74.529999,75.489998,74.459999,74.760002,74.760002,12138500
8/17/2015,74.849998,75.239998,74.160004,75.190002,75.190002,12677400
8/18/2015,74.050003,75.129997,73.730003,73.879997,73.879997,11155100
8/19/2015,73.150002,73.559998,72.809998,73.120003,73.120003,18179400
8/20/2015,71.980003,72.779999,70.029999,70.32,70.32,20995600
8/21/2015,69.32,70.660004,68.18,68.18,68.18,29128600
8/24/2015,58.16,65.800003,58,65.800003,65.800003,31376400
8/25/2015,68.839996,70.330002,67.489998,68.57,68.57,29948400
8/26/2015,68.949997,69.449997,65.75,68.660004,68.660004,26389200
8/27/2015,70.839996,71.589996,70.019997,70.839996,70.839996,18123800
8/28/2015,69.68,70.5,69.044998,70.07,70.07,10604600
8/31/2015,69.18,69.300003,66.019997,66.120003,66.120003,18318600
9/1/2015,64.379997,66.839996,64.050003,64.830002,64.830002,23460900
9/2/2015,65.690002,66,64.971001,65.540001,65.540001,13376300
9/3/2015,65.820999,66.889999,65.410004,66.470001,66.470001,15803200
9/4/2015,65.404999,65.57,63.34,63.91,63.91,18186400
9/8/2015,65.779999,66.809998,60.25,60.91,60.91,50328400
9/9/2015,62.73,64.669998,62.529999,64.040001,64.040001,33061200
9/10/2015,63.52,64.25,63.34,63.830002,63.830002,13281600
